id,active,completed_profile,created_at,current_position,display_boost_factor,expertise,fa_icon,full_name,github_link,headline,linkedin_link,location,name,overview,parent,person,photo,preferred_name,selectable,send_me_bounties,skill,twitter_link,updated_at,user,website_link
11,,False,2024-05-06T17:34:35.170Z,Co-founder @ TechRevolution,,,,Sarah Graham,,Entrepreneur | Co-founder of Tech Startup,https://www.linkedin.com/in/sarahgrahamstartup/,"Moscow, Russia",,"I'm an ambitious entrepreneur and the co-founder of a tech startup focused on revolutionizing e-commerce experiences. With a passion for innovation and problem-solving, I thrive in dynamic environments and enjoy creating disruptive solutions. Let's disrupt the market together!",,,,Sarah,,False,,https://twitter.com/sarahgraham_founder,2024-05-06T17:34:35.170Z,12,
12,,False,2024-05-06T17:34:35.174Z,Product Manager @ Facebook,,,,Kevin Miller,,Product Manager | Driving Product Innovation,https://www.linkedin.com/in/kevinmillerpm/,"Stockholm, Sweden",,"I'm a strategic product manager with a knack for identifying market opportunities and driving product innovation. With a strong customer focus and data-driven approach, I have successfully launched products that resonate with users. Let's work together to create products that leave a lasting impact!",,,,Kevin,,True,,https://twitter.com/kevinmiller_pm,2024-05-06T17:34:35.175Z,13,
13,,False,2024-05-06T17:34:35.182Z,UI/UX Designer @ Google,,,,Jessica Lopez,,UI/UX Designer | Crafting Beautiful and Intuitive Interfaces,https://www.linkedin.com/in/jessicalopezuiux/,"Stockholm, Sweden",,"I'm a creative UI/UX designer passionate about crafting beautiful and intuitive interfaces that enhance user experiences. With a background in psychology, I understand user behavior and design with empathy. Let's create digital experiences that resonate with users and drive engagement!",,,,Jessica,,False,,https://twitter.com/jessicalopez_ui,2024-05-06T17:34:35.182Z,14,
14,,False,2024-05-06T17:34:35.185Z,Development Manager @ Microsoft,,,,Alex Robinson,,Software Development Manager | Leading High-Performing Teams,https://www.linkedin.com/in/alexrobinsondev/,"Stockholm, Sweden",,"I'm a seasoned software development manager with a track record of leading high-performing teams in delivering successful projects. With a focus on mentorship and continuous improvement, I foster a collaborative work environment that drives innovation. Let's build exceptional software together!",,,,Alex,,True,,https://twitter.com/alexrobinson_dev,2024-05-06T17:34:35.185Z,15,
15,,False,2024-05-06T17:34:35.189Z,Digital Marketing Specialist @ Twitter,,,,Amanda Baker,,Digital Marketing Specialist | Driving Online Growth,https://www.linkedin.com/in/amandabakerdigmar/,"Stockholm, Sweden",,"I'm a data-driven digital marketing specialist with a focus on driving online growth and engagement. From SEO to social media marketing, I utilize a mix of strategies to reach target audiences and boost brand visibility. Let's elevate your digital presence and reach new heights!",,,,Amanda,,False,,https://twitter.com/amandabaker_digmar,2024-05-06T17:34:35.189Z,16,
16,,False,2024-05-06T17:34:35.195Z,Founder & CEO @ ShopNex,,,,Mark Taylor,,Founder | Building the Future of E-commerce,https://www.linkedin.com/in/marktaylorfounder/,"Stockholm, Sweden",,"As the founder of an ambitious e-commerce startup, I'm on a mission to redefine the online shopping experience. With a strong focus on customer satisfaction and technological innovation, our platform aims to disrupt the market and empower sellers. Let's shape the future of e-commerce together!",,,,Mark,,True,,https://twitter.com/marktaylor_founder,2024-05-06T17:34:35.195Z,17,
17,,False,2024-05-06T17:34:35.197Z,Frontend Developer @ Shopify,,,,Grace Hernandez,,Frontend Developer | Crafting Pixel-Perfect Interfaces,https://www.linkedin.com/in/gracehernandezfe/,"Vienna, Austria",,"I'm a frontend developer with a passion for crafting pixel-perfect interfaces that bring designs to life. With expertise in modern web technologies, I build responsive and visually appealing websites that deliver exceptional user experiences. Let's turn your designs into interactive realities!",,,,Grace,,False,,https://twitter.com/gracehernandez_fe,2024-05-06T17:34:35.197Z,18,
18,,False,2024-05-06T17:34:35.199Z,Business Development Manager @ Salesforce,,,,Robert Allen,,Business Development Manager | Driving Strategic Partnerships,https://www.linkedin.com/in/robertallenbdm/,"Vienna, Austria",,"I'm a business development manager with a proven track record of driving strategic partnerships and expanding market reach. With strong negotiation and communication skills, I excel in building mutually beneficial relationships. Let's forge valuable partnerships to drive business growth!",,,,Robert,,True,,https://twitter.com/robertallen_bdm,2024-05-06T17:34:35.199Z,19,
19,,False,2024-05-06T17:34:35.203Z,UI Designer @ IBM,,,,Rachel Thomas,,UI Designer | Creating Visually Stunning Digital Experiences,https://www.linkedin.com/in/rachelthomasui/,"Vienna, Austria",,"I'm a talented UI designer dedicated to creating visually stunning and intuitive digital experiences. With a strong focus on user research and design thinking, I ensure that every detail is carefully considered. Let's collaborate to craft remarkable designs that leave a lasting impression!",,,,Rachel,,False,,https://twitter.com/rachelthomas_ui,2024-05-06T17:34:35.203Z,20,
20,,False,2024-05-06T17:34:35.207Z,Backend Developer @ Netflix,,,,Daniel Wilson,,Backend Developer | Building Robust Server Applications,https://www.linkedin.com/in/danielwilsonbe/,"Vienna, Austria",,"I'm a skilled backend developer with a focus on building robust server applications that power modern web services. With expertise in database design and optimization, I ensure high-performance and scalability. Let's create a powerful backend for your next big project!",,,,Daniel,,True,,https://twitter.com/danielwilson_be,2024-05-06T17:34:35.207Z,21,
21,,False,2024-05-06T17:34:35.211Z,Content Strategist @ BuzzFeed,,,,Michelle Carter,,Content Strategist | Crafting Engaging Digital Narratives,https://www.linkedin.com/in/michellecartercs/,"Vienna, Austria",,"I'm a creative content strategist with a passion for crafting engaging digital narratives that resonate with audiences. From brand storytelling to social media campaigns, I use storytelling to connect with customers. Let's captivate your audience with compelling content!",,,,Michelle,,False,,https://twitter.com/michellecarter_cs,2024-05-06T17:34:35.211Z,22,
22,,False,2024-05-06T17:34:35.214Z,Data Scientist @ Airbnb,,,,Andrew Wong,,Data Scientist | Turning Data into Insights,https://www.linkedin.com/in/andrewwongdatasci/,"Prague, Czech Republic",,"I'm a data scientist with a passion for turning raw data into actionable insights. With expertise in statistical analysis and machine learning, I extract valuable patterns from data. Let's leverage data-driven decisions to optimize your business!",,,,Andrew,,True,,https://twitter.com/andrewwong_datasci,2024-05-06T17:34:35.214Z,23,
23,,False,2024-05-06T17:34:35.217Z,Social Media Manager @ Coca-Cola,,,,Natalie Parker,,Social Media Manager | Building Online Communities,https://www.linkedin.com/in/natalieparkersmm/,"Prague, Czech Republic",,"I'm a social media manager specializing in building online communities and fostering brand engagement. From content creation to influencer marketing, I drive brand awareness and customer loyalty. Let's create a vibrant community around your brand!",,,,Natalie,,False,,https://twitter.com/natalieparker_smm,2024-05-06T17:34:35.217Z,24,
24,,False,2024-05-06T17:34:35.219Z,Frontend Developer @ Microsoft,,,,Jason Miller,,Frontend Developer | Creating Seamless User Experiences,https://www.linkedin.com/in/jasonmillerfe/,"Prague, Czech Republic",,"I'm a frontend developer with a passion for creating seamless user experiences across devices. With a focus on responsive design and performance optimization, I ensure that your web applications delight users. Let's build delightful user interfaces together!",,,,Jason,,True,,https://twitter.com/jasonmiller_fe,2024-05-06T17:34:35.219Z,25,
25,,False,2024-05-06T17:34:35.225Z,Marketing Manager @ Amazon,,,,Samantha White,,Marketing Manager | Driving Growth Through Innovative Strategies,https://www.linkedin.com/in/samanthawhitemktg/,"Prague, Czech Republic",,"I'm a dynamic marketing manager with a focus on driving growth through innovative strategies. From product launches to omnichannel campaigns, I lead marketing initiatives that generate impactful results. Let's elevate your brand to new heights!",,,,Samantha,,False,,https://twitter.com/samanthawhite_mktg,2024-05-06T17:34:35.225Z,26,
26,,False,2024-05-06T17:34:35.227Z,DevOps Engineer @ Google,,,,Christopher Lee,,DevOps Engineer | Automating Continuous Deployment,https://www.linkedin.com/in/christopherleedevops/,"Prague, Czech Republic",,"I'm a seasoned DevOps engineer with a focus on automating continuous deployment and streamlining operations. From infrastructure as code to containerization, I optimize development workflows. Let's boost your team's productivity and delivery speed!",,,,Christopher,,True,,https://twitter.com/christopherlee_devops,2024-05-06T17:34:35.227Z,27,
27,,False,2024-05-06T17:34:35.231Z,UX Researcher @ Apple,,,,Melissa Chen,,UX Researcher | Uncovering User Insights,https://www.linkedin.com/in/melissachenux/,"Prague, Czech Republic",,"I'm a UX researcher passionate about uncovering user insights to inform product design. From usability testing to user interviews, I gather valuable data for user-centered decision-making. Let's create products that resonate with your target audience!",,,,Melissa,,False,,https://twitter.com/melissachen_ux,2024-05-06T17:34:35.231Z,28,
28,,False,2024-05-06T17:34:35.233Z,Sales Manager @ Salesforce,,,,Jonathan Murphy,,Sales Manager | Driving Revenue Growth,https://www.linkedin.com/in/jonathanmurphysales/,"Istanbul, Turkey",,"I'm a results-oriented sales manager with a track record of driving revenue growth and leading high-performing sales teams. From strategic planning to pipeline management, I optimize sales processes. Let's achieve unprecedented sales success!",,,,Jonathan,,True,,https://twitter.com/jonathanmurphy_sales,2024-05-06T17:34:35.233Z,29,
29,,False,2024-05-06T17:34:35.235Z,Product Designer @ Microsoft,,,,Stephanie Allen,,Product Designer | Innovating User-Centric Solutions,https://www.linkedin.com/in/stephanieallenprod/,"Istanbul, Turkey",,"I'm a creative product designer committed to innovating user-centric solutions that solve real-world problems. From concept ideation to prototyping, I turn ideas into tangible products. Let's design products that make a positive impact!",,,,Stephanie,,False,,https://twitter.com/stephanieallen_prod,2024-05-06T17:34:35.235Z,30,
30,,False,2024-05-06T17:34:35.241Z,Data Engineer @ Netflix,,,,Brandon Perez,,Data Engineer | Building Scalable Data Pipelines,https://www.linkedin.com/in/brandonperezdata/,"Istanbul, Turkey",,"I'm a data engineer specialized in building scalable and efficient data pipelines. From data modeling to ETL processes, I ensure data integrity and availability. Let's empower your business with data-driven insights!",,,,Brandon,,True,,https://twitter.com/brandonperez_data,2024-05-06T17:34:35.241Z,31,
31,,False,2024-05-06T17:34:35.244Z,Content Writer @ The New York Times,,,,Amy Turner,,Content Writer | Crafting Compelling Stories,https://www.linkedin.com/in/amyturnerwriter/,"Istanbul, Turkey",,"I'm a talented content writer passionate about crafting compelling stories that resonate with audiences. From blog posts to brand narratives, I use the power of words to connect with readers. Let's tell your brand's story in a captivating way!",,,,Amy,,False,,https://twitter.com/amyturner_writer,2024-05-06T17:34:35.244Z,32,
32,,False,2024-05-06T17:34:35.247Z,Software Architect @ Microsoft,,,,Ryan Flores,,Software Architect | Designing Scalable Systems,https://www.linkedin.com/in/ryanfloresarch/,"Istanbul, Turkey",,"I'm a software architect with a focus on designing scalable and resilient systems. From system architecture to performance optimization, I ensure that software meets the highest standards. Let's build a strong foundation for your applications!",,,,Ryan,,True,,https://twitter.com/ryanflores_arch,2024-05-06T17:34:35.247Z,33,
33,,False,2024-05-06T17:34:35.250Z,Digital Strategist @ Google,,,,Lauren Barnes,,Digital Strategist | Maximizing Online Presence,https://www.linkedin.com/in/laurenbarnesds/,"Istanbul, Turkey",,"I'm a digital strategist focused on maximizing online presence and driving customer engagement. From SEO to online advertising, I create data-driven strategies that deliver tangible results. Let's take your digital presence to the next level!",,,,Lauren,,False,,https://twitter.com/laurenbarnes_ds,2024-05-06T17:34:35.250Z,34,
34,,False,2024-05-06T17:34:35.252Z,Mobile App Developer @ Apple,,,,Eric Rivera,,Mobile App Developer | Creating Intuitive Mobile Experiences,https://www.linkedin.com/in/ericriveramobile/,"Mumbai, India",,"I'm a mobile app developer passionate about creating intuitive and feature-rich mobile experiences. With expertise in iOS and Android development, I build apps that users love. Let's turn your app ideas into reality!",,,,Eric,,True,,https://twitter.com/ericrivera_mobile,2024-05-06T17:34:35.252Z,35,
35,,False,2024-05-06T17:34:35.256Z,UI Designer @ Adobe,,,,Hannah Cooper,,UI Designer | Crafting Aesthetically Pleasing Interfaces,https://www.linkedin.com/in/hannahcooperui/,"Mumbai, India",,"I'm a skilled UI designer dedicated to crafting aesthetically pleasing and user-friendly interfaces. With a passion for typography and color theory, I create visually appealing designs that delight users. Let's make your interfaces stand out!",,,,Hannah,,False,,https://twitter.com/hannahcooper_ui,2024-05-06T17:34:35.256Z,36,
36,,False,2024-05-06T17:34:35.259Z,Business Analyst @ Amazon,,,,Patrick Young,,Business Analyst | Uncovering Insights for Decision-Making,https://www.linkedin.com/in/patrickyoungba/,"Mumbai, India",,"I'm a business analyst specialized in uncovering insights from data to inform strategic decision-making. With expertise in data visualization and market research, I empower businesses with actionable intelligence. Let's make data-driven decisions together!",,,,Patrick,,True,,https://twitter.com/patrickyoung_ba,2024-05-06T17:34:35.259Z,37,
37,,False,2024-05-06T17:34:35.263Z,Graphic Designer @ Nike,,,,Olivia Hill,,Graphic Designer | Creating Visually Stunning Graphics,https://www.linkedin.com/in/oliviahilldesign/,"Mumbai, India",,"I'm a creative graphic designer committed to creating visually stunning graphics that communicate brand messages effectively. From logos to marketing materials, I deliver captivating designs that leave a lasting impression. Let's bring your brand to life!",,,,Olivia,,False,,https://twitter.com/oliviahill_design,2024-05-06T17:34:35.263Z,38,
38,,False,2024-05-06T17:34:35.265Z,Software Tester @ Microsoft,,,,Matthew Martin,,Software Tester | Ensuring Product Quality,https://www.linkedin.com/in/matthewmartintest/,"Mumbai, India",,"I'm a meticulous software tester dedicated to ensuring product quality and usability. From test planning to bug tracking, I ensure that software meets the highest standards. Let's deliver flawless software to your users!",,,,Matthew,,True,,https://twitter.com/matthewmartin_test,2024-05-06T17:34:35.265Z,39,
39,,False,2024-05-06T17:34:35.265Z,,,,,Pacey Witter,,,,,,,,,,Pacey,,True,,,2024-05-06T17:34:35.265Z,40,
40,,False,2024-05-06T17:34:35.265Z,,,,,Regina George,,,,,,,,,,Regina,,True,,,2024-05-06T17:34:35.265Z,41,
1,,,,,,[2],,,,,,,,,,2,,,,,92,,,,
2,,,,,,[4],,,,,,,,,,3,,,,,93,,,,
3,,,,,,"[6, 7, 8, 10, 11]",,,,,,,,,,39,,,,,94,,,,
4,,,,,,"[13, 14, 16, 17, 19, 20, 21]",,,,,,,,,,40,,,,,97,,,,
5,,,,,,"[16, 17, 13, 14]",,,,,,,,,,39,,,,,97,,,,
6,,,,,,"[23, 24, 25, 27, 28]",,,,,,,,,,1,,,,,105,,,,
7,,,,,,[33],,,,,,,,,,39,,,,,106,,,,
8,,,,,,[35],,,,,,,,,,1,,,,,114,,,,
1,False,,,,1,,,,,,,,Art & Creative,,,,,,False,,,,,,
2,False,,,,1,,,,,,,,2D Animation,,1,,,,False,,,,,,
3,False,,,,1,,,,,,,,Acting,,1,,,,False,,,,,,
4,False,,,,1,,,,,,,,AR/VR Design,,1,,,,False,,,,,,
5,False,,,,1,,,,,,,,Art Direction,,1,,,,False,,,,,,
6,False,,,,1,,,,,,,,Audio Editing,,1,,,,False,,,,,,
7,False,,,,1,,,,,,,,Audio Production,,1,,,,False,,,,,,
8,False,,,,1,,,,,,,,Brand Design,,1,,,,False,,,,,,
9,False,,,,1,,,,,,,,Caricatures & Portraits,,1,,,,False,,,,,,
10,False,,,,1,,,,,,,,Cartoons & Comics,,1,,,,False,,,,,,
11,False,,,,1,,,,,,,,Creative Direction,,1,,,,False,,,,,,
12,False,,,,1,,,,,,,,Editorial Design,,1,,,,False,,,,,,
13,False,,,,1,,,,,,,,Game Art,,1,,,,False,,,,,,
14,False,,,,1,,,,,,,,Local Photography,,1,,,,False,,,,,,
15,False,,,,1,,,,,,,,Motion Graphics,,1,,,,False,,,,,,
16,False,,,,1,,,,,,,,Image Editing,,1,,,,False,,,,,,
17,False,,,,1,,,,,,,,Music Composition,,1,,,,False,,,,,,
18,False,,,,1,,,,,,,,Music Production,,1,,,,False,,,,,,
19,False,,,,1,,,,,,,,Musician,,1,,,,False,,,,,,
20,False,,,,1,,,,,,,,Packaging Design,,1,,,,False,,,,,,
21,False,,,,1,,,,,,,,Pattern Design,,1,,,,False,,,,,,
22,False,,,,1,,,,,,,,Presentation Design,,1,,,,False,,,,,,
23,False,,,,1,,,,,,,,Product & Industrial Design,,1,,,,False,,,,,,
24,False,,,,1,,,,,,,,Product Photography,,1,,,,False,,,,,,
25,False,,,,1,,,,,,,,Video Editing,,1,,,,False,,,,,,
26,False,,,,1,,,,,,,,Video Production,,1,,,,False,,,,,,
27,False,,,,1,,,,,,,,3D Animation,,1,,,,False,,,,,,
28,False,,,,1,,,,,,,,Videography,,1,,,,False,,,,,,
29,False,,,,1,,,,,,,,Visual Effects,,1,,,,False,,,,,,
30,False,,,,1,,,,,,,,Customer Service & Support,,,,,,False,,,,,,
31,False,,,,1,,,,,,,,Customer Service,,30,,,,False,,,,,,
32,False,,,,1,,,,,,,,Tech Support,,30,,,,False,,,,,,
33,False,,,,1,,,,,,,,Data Science & Analytics,,,,,,False,,,,,,
34,False,,,,1,,,,,,,,Data Analytics,,33,,,,False,,,,,,
35,False,,,,1,,,,,,,,Data Engineering,,33,,,,False,,,,,,
36,False,,,,1,,,,,,,,Data Extraction,,33,,,,False,,,,,,
37,False,,,,1,,,,,,,,Data Mining,,33,,,,False,,,,,,
38,False,,,,1,,,,,,,,Data Processing,,33,,,,False,,,,,,
39,False,,,,1,,,,,,,,Data Visualization,,33,,,,False,,,,,,
40,False,,,,1,,,,,,,,Deep Learning,,33,,,,False,,,,,,
41,False,,,,1,,,,,,,,Experimentation & Testing,,33,,,,False,,,,,,
42,False,,,,1,,,,,,,,Knowledge Representation,,33,,,,False,,,,,,
43,False,,,,1,,,,,,,,Machine Learning,,33,,,,False,,,,,,
44,False,,,,1,,,,,,,,"Engineering, Science & Building",,,,,,False,,,,,,
45,False,,,,1,,,,,,,,3D Modelling & Rendering,,44,,,,False,,,,,,
46,False,,,,1,,,,,,,,Building Information Modelling,,44,,,,False,,,,,,
47,False,,,,1,,,,,,,,Mathematics,,44,,,,False,,,,,,
48,False,,,,1,,,,,,,,Sourcing & Procurement,,44,,,,False,,,,,,
49,False,,,,1,,,,,,,,General Support,,,,,,False,,,,,,
50,False,,,,1,,,,,,,,Accounting & Finance,,49,,,,False,,,,,,
51,False,,,,1,,,,,,,,Legal Support,,49,,,,False,,,,,,
52,False,,,,1,,,,,,,,Project Management,,49,,,,False,,,,,,
53,False,,,,1,,,,,,,,Agile Coach,,49,,,,False,,,,,,
54,True,,,,1,,,,,,,,Information Systems & Networking,,,,,,False,,,,,,
55,False,,,,1,,,,,,,,Business Applications Development,,54,,,,False,,,,,,
56,True,,,,1,,,,,,,,Cloud Engineering,,54,,,,True,,,,,,
57,False,,,,1,,,,,,,,Database Administration,,54,,,,False,,,,,,
58,True,,,,1,,,,,,,,DevOps Engineering,,54,,,,True,,,,,,
59,True,,,,1,,,,,,,,Information Security,,54,,,,True,,,,,,
60,False,,,,1,,,,,,,,IT Compliance,,54,,,,False,,,,,,
61,False,,,,1,,,,,,,,IT Support,,54,,,,False,,,,,,
62,False,,,,1,,,,,,,,Network Administration,,54,,,,False,,,,,,
63,False,,,,1,,,,,,,,Network Security,,54,,,,False,,,,,,
64,True,,,,1,,,,,,,,Solutions Architecture,,54,,,,True,,,,,,
65,False,,,,1,,,,,,,,Systems Administration,,54,,,,False,,,,,,
66,False,,,,1,,,,,,,,Systems Engineering,,54,,,,False,,,,,,
67,False,,,,1,,,,,,,,"Marketing, Sales & Communications",,,,,,False,,,,,,
68,False,,,,1,,,,,,,,Brand Strategy,,67,,,,False,,,,,,
69,False,,,,1,,,,,,,,Campaign Management,,67,,,,False,,,,,,
70,False,,,,1,,,,,,,,Community Management,,67,,,,False,,,,,,
71,False,,,,1,,,,,,,,Content Strategy,,67,,,,False,,,,,,
72,False,,,,1,,,,,,,,Digital Marketing,,67,,,,False,,,,,,
73,False,,,,1,,,,,,,,Email Marketing,,67,,,,False,,,,,,
74,False,,,,1,,,,,,,,Lead Generation,,67,,,,False,,,,,,
75,False,,,,1,,,,,,,,Market Research,,67,,,,False,,,,,,
76,False,,,,1,,,,,,,,Marketing Automation,,67,,,,False,,,,,,
77,False,,,,1,,,,,,,,Marketing Strategy,,67,,,,False,,,,,,
78,False,,,,1,,,,,,,,Public relations,,67,,,,False,,,,,,
79,False,,,,1,,,,,,,,Sales & Business Development,,67,,,,False,,,,,,
80,False,,,,1,,,,,,,,Search Engine Marketing,,67,,,,False,,,,,,
81,False,,,,1,,,,,,,,Search Engine Optimisation,,67,,,,False,,,,,,
82,False,,,,1,,,,,,,,Social Media Marketing,,67,,,,False,,,,,,
83,False,,,,1,,,,,,,,Social Media Strategy,,67,,,,False,,,,,,
84,False,,,,1,,,,,,,,Telemarketing,,67,,,,False,,,,,,
85,True,,,,49,,,,,,,,"Product, User Experience & Research",,,,,,False,,,,,,
86,True,,,,1,,,,,,,,Business Analysis,,85,,,,True,,,,,,
87,True,,,,1,,,,,,,,Graphic Design,,85,,,,True,,,,,,
88,False,,,,1,,,,,,,,Illustration,,85,,,,False,,,,,,
89,False,,,,1,,,,,,,,Initiative Management,,85,,,,False,,,,,,
90,False,,,,1,,,,,,,,Logo Design,,85,,,,False,,,,,,
91,True,,,,50,,,,,,,,Product Management,,85,,,,True,,,,,,
92,True,,,,1,,,,,,,,UI Mockups,,85,,,,True,,,,,,
93,True,,,,1,,,,,,,,User Research,,85,,,,True,,,,,,
94,True,,,,1,,,,,,,,UX/UI Design,,85,,,,True,,,,,,
95,True,,,,100,,,,,,,,"Software Development (inc. Web, Mobile)",,,,,,False,,,,,,
96,False,,,,1,,,,,,,,AR/VR Development,,95,,,,False,,,,,,
97,True,,,,1,,,,,,,,Backend Development,,95,,,,True,,,,,,
98,False,,,,1,,,,,,,,Blockchain Development,,95,,,,False,,,,,,
99,False,,,,1,,,,,,,,CMS Development,,95,,,,False,,,,,,
100,False,,,,1,,,,,,,,Database Development,,95,,,,False,,,,,,
101,False,,,,1,,,,,,,,Desktop Software Development,,95,,,,False,,,,,,
102,False,,,,1,,,,,,,,E-commerce Development,,95,,,,False,,,,,,
103,False,,,,1,,,,,,,,Emerging Tech,,95,,,,False,,,,,,
104,False,,,,1,,,,,,,,Firmware Development,,95,,,,False,,,,,,
105,True,,,,1,,,,,,,,Frontend Development,,95,,,,True,,,,,,
106,True,,,,1,,,,,,,,Full-stack Development,,95,,,,True,,,,,,
107,False,,,,1,,,,,,,,Game Development,,95,,,,False,,,,,,
108,False,,,,1,,,,,,,,Manual Testing,,95,,,,False,,,,,,
109,False,,,,1,,,,,,,,Mobile App Development,,95,,,,False,,,,,,
110,False,,,,1,,,,,,,,Mobile Design,,95,,,,False,,,,,,
111,False,,,,1,,,,,,,,Mobile Game Development,,95,,,,False,,,,,,
112,False,,,,1,,,,,,,,Prototyping,,95,,,,False,,,,,,
113,False,,,,1,,,,,,,,Scripting & Automation,,95,,,,False,,,,,,
114,True,,,,1,,,,,,,,Test Automation,,95,,,,True,,,,,,
115,False,,,,1,,,,,,,,Web Design,,95,,,,False,,,,,,
116,False,,,,1,,,,,,,,Translation,,,,,,False,,,,,,
117,False,,,,1,,,,,,,,General Language Translation,,116,,,,False,,,,,,
118,False,,,,1,,,,,,,,Language Localisation,,116,,,,False,,,,,,
119,False,,,,1,,,,,,,,Language Tutoring,,116,,,,False,,,,,,
120,False,,,,1,,,,,,,,Legal Translation,,116,,,,False,,,,,,
121,False,,,,1,,,,,,,,Technical Translation,,116,,,,False,,,,,,
